meeting_id,speaker,start_time,end_time,duration,segment_id,next_speaker,prev_speaker,time_to_next,time_from_prev,is_turn_change,has_overlap,overlap_duration,overlapping_speakers,new_turn,words_ref,word_count,class,gloss
ES2006a,D,0.0,0.0,0.0,ES2006a.D.dialog-act.s9553330.1,,,,,,,,,False, ...,1,minor,Fragment
ES2006a,C,8.7,9.49,0.79,ES2006a.C.dialog-act.s9553330.1,,,,,,,,,False, Okay.,1,minor,Stall
ES2006a,C,10.69,17.72,7.03,ES2006a.C.dialog-act.s9553330.2,C,,0.0,,True,False,0.0,[],False," So, this is uh first meeting of this design project.",10,task,Inform
ES2006a,C,17.72,23.15,5.43,ES2006a.C.dialog-act.s9553330.3,C,C,0.0,0.0,False,False,0.0,[],False," Um and I um like to show you the agenda for the meeting,",13,other,Offer
ES2006a,C,23.15,26.65,3.5,ES2006a.C.dialog-act.s9553330.4,D,C,3.29,0.0,False,False,0.0,[],False, I don't know if it was sent round to all of you.,12,elicit,Elicit-Inform
ES2006a,D,28.03,29.94,1.91,ES2006a.D.dialog-act.s9553330.2,,,,,,,,,False," Mm, yeah.",2,minor,Stall
ES2006a,C,29.66,30.27,0.61,ES2006a.C.dialog-act.s9553330.5,,,,,,,,,False, Maybe not.,2,task,Assess
ES2006a,D,29.94,31.16,1.22,ES2006a.D.dialog-act.s9553330.3,C,C,0.17,3.29,True,False,0.0,[],True, I didn't receive it yet.,5,task,Inform
ES2006a,C,30.27,31.33,1.06,ES2006a.C.dialog-act.s9553330.6,,,,,,,,,False," Anyway,",1,minor,Stall
ES2006a,C,31.33,34.02,2.69,ES2006a.C.dialog-act.s9553330.7,C,D,0.0,0.17,True,False,0.0,[],True, this is the the plan for today's meeting,8,task,Inform
ES2006a,C,34.02,40.31,6.29,ES2006a.C.dialog-act.s9553330.8,C,C,0.0,0.0,False,False,0.0,[],False," is um firstly just to introduce the project briefly,",9,task,Inform
ES2006a,C,40.31,45.12,4.81,ES2006a.C.dialog-act.s9553330.9,C,C,0.0,0.0,False,False,0.0,[],False, um although I'm sure you've actually got some of the information already.,12,task,Inform
ES2006a,C,45.12,50.09,4.97,ES2006a.C.dialog-act.s9553330.10,C,C,0.0,0.0,False,False,0.0,[],False, Then the main purpose is to so that we get to know each other a little bit more.,18,task,Inform
ES2006a,A,49.38,49.66,0.28,ES2006a.A.dialog-act.s9553330.1,,,,,,,,,False, Mm-hmm.,1,minor,Backchannel
ES2006a,C,50.09,59.25,9.16,ES2006a.C.dialog-act.s9553330.11,C,C,0.0,0.0,False,False,0.0,[],False," Um then we want to practice using some of the tools that we'll be using during the the course of the design project and the meetings,",26,task,Inform
ES2006a,C,59.25,64.3,5.05,ES2006a.C.dialog-act.s9553330.12,C,C,0.0,0.0,False,False,0.0,[],False, um specifically the whiteboard over there.,6,task,Inform
ES2006a,C,64.3,70.44,6.14,ES2006a.C.dialog-act.s9553330.13,C,C,3.0,0.0,False,False,0.0,[],False, Um then we need to go through the specifics of our project plan um,14,task,Inform
ES2006a,C,70.44,73.44,3.0,ES2006a.C.dialog-act.s9553330.14,,,,,,,,,False, and discuss,2,minor,Fragment
ES2006a,C,73.44,75.56,2.12,ES2006a.C.dialog-act.s9553330.15,C,C,1.32,3.0,False,False,0.0,[],False, come up with some preliminary ideas about it.,8,task,Inform
ES2006a,C,76.88,78.66,1.78,ES2006a.C.dialog-act.s9553330.16,C,C,0.0,1.32,False,False,0.0,[],False, And then that's it.,4,task,Inform
ES2006a,C,78.66,80.73,2.07,ES2006a.C.dialog-act.s9553330.17,C,C,0.0,0.0,False,False,0.0,[],False," So we've got twenty five minutes to do that,",9,task,Inform
ES2006a,C,80.73,82.58,1.85,ES2006a.C.dialog-act.s9553330.18,C,C,2.59,0.0,False,False,0.0,[],False, that's until eleven twenty five.,5,task,Inform
ES2006a,A,84.432,86.98,2.548,ES2006a.A.dialog-act.s9553330.2,,,,,,,,,False, so sh,2,minor,Fragment
ES2006a,C,85.17,88.61,3.44,ES2006a.C.dialog-act.s9553330.19,D,C,0.69,2.59,False,False,0.0,[],False, S so any any questions?,5,elicit,Elicit-Inform
ES2006a,C,88.61,88.73,0.12,ES2006a.C.dialog-act.s9553330.21,,,,,,,,,False, Is i,2,minor,Fragment
ES2006a,A,88.704,91.334,2.63,ES2006a.A.dialog-act.s9553330.3,,,,,,,,,False,.,0,minor,Fragment
ES2006a,D,89.3,90.22,0.92,ES2006a.D.dialog-act.s9553330.4,C,C,-0.729,0.69,True,True,0.729,['ES2006a.C.dialog-act.s9553330.20'],True, Not at this point.,4,task,Inform
ES2006a,C,89.491,91.36,1.869,ES2006a.C.dialog-act.s9553330.20,C,D,3.36,-0.729,True,False,0.0,[],False, not at this point.,4,task,Assess
ES2006a,C,94.72,96.94,2.22,ES2006a.C.dialog-act.s9553330.22,C,C,0.0,3.36,False,False,0.0,[],False, So this is our project.,5,task,Inform
ES2006a,C,96.94,103.73,6.79,ES2006a.C.dialog-act.s9553330.23,C,C,0.0,0.0,False,False,0.0,[],False, What we're aiming to do is to create a new remote control for a television.,15,task,Inform
ES2006a,C,103.73,113.73,10.0,ES2006a.C.dialog-act.s9553330.24,C,C,0.0,0.0,False,False,0.0,[],False," Um we want it to be something original, something trendy and also something user friendly,",15,task,Inform
ES2006a,C,113.73,118.84,5.11,ES2006a.C.dialog-act.s9553330.25,C,C,20.19,0.0,False,False,0.0,[],False, so it has to be quite intuitive that people are able to use this product.,15,task,Inform
ES2006a,C,139.03,150.09,11.06,ES2006a.C.dialog-act.s9553330.26,C,C,0.0,20.19,False,False,0.0,[],False," The method that we're going to use to complete the project, that has three components as such.",17,task,Inform
ES2006a,C,150.09,157.43,7.34,ES2006a.C.dialog-act.s9553330.27,C,C,0.58,0.0,False,False,0.0,[],False, There's the functional design of the the remote control.,9,task,Inform
ES2006a,C,157.43,158.01,0.58,ES2006a.C.dialog-act.s9553330.28,,,,,,,,,False, We're going,2,minor,Fragment
ES2006a,C,158.01,162.3,4.29,ES2006a.C.dialog-act.s9553330.29,C,C,0.0,0.58,False,False,0.0,[],False, the way we'll do that I think is to to work individually initially,13,task,Inform
ES2006a,C,162.3,166.22,3.92,ES2006a.C.dialog-act.s9553330.30,C,C,1.36,0.0,False,False,0.0,[],False, and then come together for meetings to to work on that.,11,task,Inform
ES2006a,C,167.58,172.16,4.58,ES2006a.C.dialog-act.s9553330.31,C,C,0.0,1.36,False,False,0.0,[],False," Um similarly with the conceptual design,",6,task,Inform
ES2006a,C,172.16,178.34,6.18,ES2006a.C.dialog-act.s9553330.32,C,C,0.0,0.0,False,False,0.0,[],False, we'll start off by working individually with our own expertise on our own laptops,14,task,Inform
